zone,set,beta,k,M
zone322,3,2,0.82032013158654815,-545781587.86827981
zone322,3,5,0.64941542097019866,-219467440.09333739
zone322,3,12,0.44645179320318146,88232126.820443526
zone322,3,30,0.27536618158229459,287124861.74359447
zone322,3,60,0.21591493819945612,389070823.67469996
zone322,3,120,0.24874801483579165,584294030.54425323
zone322,3,250,0.28067612278754905,1199759709.851918
zone411,3,1.05,0.68634425293213597,1184840084.562892
zone411,3,2,0.55596956133649866,702152167.69215167
zone411,3,5,0.40238049457480579,321056491.02599543
zone411,3,12,0.32515001433350649,297979540.40185481
zone411,3,30,0.293859005453457,556593942.68757701
zone411,3,60,0.28469115660336097,1037835165.7456299
zone411,3,120,0.28046927161401924,2010585275.3732219
zone411,3,250,0.2783839883311805,4121713016.8490744
zone412,3,1.05,0.72900787669914136,1009829937.1719365
zone412,3,2,0.60589740327428832,668036198.36455441
zone412,3,5,0.43649655057025133,365474307.42587715
zone412,3,12,0.31850357554498321,280810529.86298788
zone412,3,30,0.2458065577410857,307952120.44898957
zone412,3,60,0.21593381740527878,389245857.69060355
zone412,3,120,0.19937564869452157,555324856.18589318
zone412,3,250,0.19022766393380161,913879617.23410225
zone421,3,1.05,0.89496894754600842,-744575279.9063704
zone421,3,2,0.81774978928574171,-594266495.54105079
zone421,3,5,0.64602627181610961,-257349909.45878926
zone421,3,12,0.44809731156762844,120029838.58357371
zone421,3,30,0.30407981560366132,546082985.72745085
zone421,3,60,0.3073651348503465,1017793770.3521714
zone421,3,120,0.41163998546492958,1879180803.0245979
zone421,3,250,0.35968811469300194,4058372858.5027876
zone422,3,1.05,0.8971767246115695,-562861962.53188193
zone422,3,2,0.82122818274695197,-434756127.87054455
zone422,3,5,0.65063754113606953,-156425263.98513606
zone422,3,12,0.44737205649576772,110720213.82378145
zone422,3,30,0.2755567260742357,289618044.84351784
zone422,3,60,0.21593387761872615,389245851.86702639
zone422,3,120,0.2496833031718281,589508630.22074652
zone422,3,250,0.28135210476427808,1217329534.5979846
zone4222,3,1.05,0.89705541007340628,-565991398.92016459
zone4222,3,2,0.82096052859237589,-438341609.62263024
zone4222,3,5,0.64979110036121168,-160983236.7865229
zone4222,3,12,0.44493741787905772,104424439.74511014
zone4222,3,30,0.26940312603168809,279346968.72122723
zone4222,3,60,0.20693966309830569,375724662.46379566
zone4222,3,120,0.29631276024435932,654008508.95099831
zone4222,3,250,0.201824003765321,1167352550.3590634
zone111,4,1.05,0.46433380229899635,22095895.263291992
zone111,4,2,0.46480350386362529,42209496.235830188
zone111,4,5,0.46697880585491952,106937787.22627725
zone111,4,12,0.46781956369600214,257963029.25470939
zone111,4,30,0.46817900488323289,646310485.64430714
zone111,4,60,0.46829870114240063,1293555404.249747
zone111,4,120,0.46835852727265204,2588044926.0329142
zone111,4,250,0.4683896310669951,5392772050.1676445
zone211,4,1.05,0.46404599942820229,21878490.793422624
zone211,4,2,0.42854836350526193,32073106.151265714
zone211,4,5,0.3430881113480953,42780310.333303869
zone211,4,12,0.25698251229234359,50473457.861327566
